Date,Average Voltage (V),sensor 1,sensor 2,sensor 3,sensor 4,sensor 5,sensor 6,sensor 7,sensor 8,sensor 9,sensor 10,sensor 11,sensor 12,sensor 13,sensor 14,sensor 15,sensor 16,sensor 17,sensor 18,sensor 19,sensor 20,sensor 21,sensor 22,sensor 23,sensor 24,sensor 25,sensor 26,sensor 27,sensor 28,sensor 29,sensor 30,sensor 31,sensor 32,sensor 33,sensor 34,sensor 35,sensor 36,sensor 37,sensor 38,sensor 39,sensor 40,sensor 41,sensor 42,sensor 43,sensor 44,sensor 45,sensor 46,sensor 47,sensor 48,sensor 49,sensor 50,sensor 51,sensor 52,sensor 53,sensor 54,sensor 55,sensor 56,sensor 57,sensor 58,sensor 59,sensor 60,sensor 61,sensor 62,sensor 63,sensor 64,sensor 65,sensor 66,sensor 67,sensor 68,sensor 69,sensor 70,sensor 71,sensor 72,sensor 73,sensor 74,sensor 75,sensor 76,sensor 77,sensor 78,sensor 79,sensor 80,sensor 81,sensor 82,sensor 83,sensor 84,sensor 85,sensor 86,sensor 87,sensor 88,sensor 89,sensor 90,sensor 91,sensor 92
2025-04-04,122.89020,127.25864,123.54386,123.79087,125.87026,126.18602,125.75469,122.76466,121.11286,126.87213,124.50692,123.85913,124.79440,121.84578,123.37413,126.94726,128.12355,122.65572,124.74074,125.93244,125.05308,125.67645,124.57942,123.54966,125.35270,125.08351,125.54682,124.77634,124.12171,124.42789,122.47956,123.67384,119.30696,121.65583,122.44445,123.86362,122.38744,120.87767,121.91155,122.16635,124.60842,124.47411,122.10228,123.68863,123.55101,122.07759,123.00067,122.03307,120.87072,121.03673,122.59070,123.70541,122.57575,122.92397,123.57667,122.59188,121.95799,123.06399,121.92583,122.35891,121.64590,120.99505,121.65543,124.15455,118.25584,121.02047,119.96809,121.86017,120.93176,122.61987,120.48965,122.15525,120.65402,124.29958,121.82773,127.94472,124.46223,119.19921,120.27118,121.25489,120.70855,120.95233,120.42937,121.35674,119.96638,122.57843,121.14432,120.83783,121.96964,124.87739,120.10693,119.85984,121.84371
2025-04-05,122.90246,127.22669,123.63736,123.85725,125.99496,126.30902,125.83778,122.77968,121.12824,126.98525,124.58419,123.99548,124.93370,121.84833,123.47226,127.08516,128.25689,122.68026,124.79465,126.04646,125.18114,125.82143,124.72753,123.65963,125.45003,125.13678,125.71784,124.89085,124.20503,124.63738,122.54886,123.72710,119.38347,121.64724,122.51146,123.91078,122.50892,120.90968,121.92483,122.25937,124.79723,124.53091,122.21408,123.77295,123.61777,122.15821,123.09589,122.11180,120.94799,121.12999,122.66755,123.77354,122.67615,122.98385,123.68706,122.71108,122.01927,123.12268,121.92797,122.22981,121.44132,120.87135,121.48932,124.02433,118.12106,120.84888,119.84853,121.70585,120.76276,122.58087,120.30746,121.76184,120.41816,124.04139,121.72838,128.18482,124.54765,119.03991,120.19595,121.12849,120.58768,120.80769,120.32594,121.25324,119.84871,122.53542,121.11890,120.70082,121.87790,124.97252,120.10077,119.68399,121.77594
2025-04-06,122.81046,127.12752,123.59314,123.86276,125.97818,126.31204,125.81763,122.68406,121.01587,127.00248,124.56338,124.01689,124.92481,121.73208,123.44134,127.07558,128.28505,122.60278,124.78335,126.05313,125.15501,125.85091,124.76354,123.66277,125.42678,125.08491,125.76664,124.86986,124.16138,124.67720,122.52675,123.64408,119.35961,121.57867,122.46225,123.89546,122.49994,120.86715,121.80821,122.25269,124.84168,124.48654,122.19490,123.72103,123.55909,122.13400,123.02223,122.03448,120.93735,121.12240,122.60395,123.75772,122.63785,122.93374,123.63836,122.72061,122.01155,123.12783,121.87857,122.01426,121.15561,120.64075,121.22790,123.72060,117.86586,120.59973,119.62929,121.46959,120.48309,122.47535,120.13914,121.47886,120.25301,123.73473,121.56417,128.29362,124.50196,118.84237,120.06148,120.94065,120.35789,120.57868,120.13955,121.09734,119.66670,122.34204,120.94239,120.47769,121.63144,124.91458,119.90323,119.34827,121.51249
2025-04-07,123.12846,126.87828,123.50898,123.78453,125.79096,126.04764,125.70539,122.75360,121.08228,126.73373,124.41783,123.90429,124.75440,121.76023,123.48194,126.93606,128.23133,122.71174,124.52058,125.93472,124.76207,125.58639,124.73305,123.51934,125.24395,124.85167,125.62243,124.64825,123.89153,124.43116,122.58795,123.69930,119.43382,121.62602,122.55879,123.91891,122.56354,120.93751,121.87525,122.36722,124.90690,124.60464,122.22772,123.73408,123.57539,122.14070,123.03849,122.07919,121.01900,121.27035,122.63614,123.85040,122.67196,122.92455,123.69992,122.77976,122.04865,123.11284,121.85765,122.91326,122.41862,121.86260,122.19390,124.78567,118.97940,121.67006,120.81204,122.62802,121.50874,123.16168,121.33853,122.50183,121.48939,124.68561,122.36699,128.31158,124.31078,119.94514,121.32466,122.14714,121.37508,121.45704,121.28459,122.13231,120.42903,123.10059,122.05867,121.46731,122.70779,124.78435,120.92613,120.39945,122.36288
2025-04-08,123.33471,126.77210,123.50152,123.76577,125.72929,125.92214,125.67252,122.84205,121.20853,126.63373,124.33805,123.91917,124.68511,121.84425,123.54719,126.91083,128.19437,122.82547,124.40008,125.92785,124.57930,125.48040,124.75513,123.48092,125.13021,124.72298,125.55546,124.53963,123.77272,124.35855,122.70554,123.78018,119.54185,121.69439,122.63534,123.96419,122.66384,121.04407,122.02202,122.51298,124.96005,124.81849,122.29030,123.71951,123.66882,122.20220,123.12193,122.18191,121.11760,121.38396,122.71930,123.91362,122.70208,122.96198,123.78769,122.87182,122.08758,123.07386,121.88371,123.41825,123.03674,122.43861,122.79086,125.52964,119.54329,122.28164,121.54753,123.14782,122.13966,123.65839,121.86000,122.95033,122.05596,125.18302,122.90208,128.44160,124.20510,120.61409,121.95948,122.73012,121.83884,121.94115,121.87894,122.74108,120.77937,123.47471,122.80625,122.04206,123.39949,124.72754,121.62434,121.08098,122.98676
2025-04-09,123.26694,126.70913,123.39126,123.66412,125.49963,125.76903,125.43967,122.56334,120.98135,126.48752,124.18669,123.71074,124.61111,121.66042,123.23575,126.62441,128.09247,122.50566,124.38236,125.76183,124.60883,125.40813,124.42161,123.37564,124.95393,124.59502,125.28533,124.34854,123.73112,124.21675,122.52921,123.46547,119.34464,121.50939,122.43244,123.70287,122.42819,120.89945,121.87555,122.34404,124.63689,124.57826,122.08457,123.48827,123.46265,122.04724,122.93385,121.98847,120.92894,121.25242,122.49084,123.69589,122.38647,122.79845,123.52051,122.59061,121.92247,122.81733,121.60801,123.49054,123.28445,122.46729,122.94498,125.53775,120.01680,122.62213,121.68687,123.39599,122.43809,123.46980,122.10606,122.97688,122.48245,125.34856,122.94673,127.87778,123.98289,121.04384,122.13315,122.93202,121.99614,122.21563,122.07277,122.75944,120.93209,123.47301,122.99160,122.37043,123.57766,124.27596,121.78107,121.43752,123.49532
2025-04-10,123.25706,126.79582,123.35814,123.69940,125.55621,125.88649,125.50163,122.36442,120.82364,126.65298,124.23792,123.70955,124.70370,121.62046,123.19621,126.70165,128.11993,122.30153,124.49670,125.82016,124.77689,125.57541,124.49865,123.42372,125.04345,124.71850,125.28565,124.43163,123.83372,124.32227,122.51500,123.43953,119.27946,121.45828,122.37743,123.70390,122.38528,120.85354,121.83387,122.31924,124.63239,124.52411,122.03613,123.42428,123.42059,122.01039,122.92124,121.94158,120.87315,121.23591,122.43646,123.65584,122.33922,122.76902,123.45970,122.57630,121.87552,122.81697,121.52563,123.41677,123.31051,122.45604,122.86873,125.50885,119.94346,122.61954,121.64527,123.37969,122.36263,123.34830,122.14391,122.84748,122.48873,125.27476,122.83353,127.87653,124.01870,121.07181,122.13868,122.88678,121.85072,122.12316,122.07076,122.72473,120.86921,123.40723,122.94349,122.36452,123.59834,124.26321,121.87963,121.44058,123.58056
2025-04-11,123.47858,126.98992,123.47128,123.85188,125.73084,126.13840,125.69445,122.32777,120.82239,126.93300,124.41785,123.83676,124.94510,121.75928,123.31209,126.92652,128.31043,122.27248,124.75858,126.04462,125.06390,125.89304,124.71487,123.61753,125.30935,125.03905,124.27004,124.68318,124.08828,124.60532,122.70234,123.58233,119.39203,121.57536,122.47931,123.86691,122.47421,120.99038,121.98556,122.45130,124.79548,124.57630,122.15900,123.52653,123.55601,122.12703,123.07182,122.07642,120.97901,121.43327,122.55374,123.76730,122.46179,122.92327,123.55260,122.70757,121.97996,123.01605,121.61709,123.63081,123.76276,122.89366,123.14189,125.75109,120.32223,123.11660,122.07433,123.75209,122.65248,123.48084,122.68457,123.17169,122.97945,125.54564,122.97928,127.97398,124.19912,121.48147,122.57217,123.24345,122.14318,122.50422,122.50980,123.18981,121.16330,123.66941,123.36976,122.81079,124.13655,124.43295,122.38404,121.86133,124.23538
2025-04-12,123.47262,126.97160,123.50469,123.89367,125.73662,126.18096,125.73801,122.37614,120.83551,126.99914,124.41919,123.85122,124.94324,121.75713,123.36157,126.92456,128.39122,122.32816,124.78970,126.07456,125.04578,125.92480,124.76823,123.62570,125.33037,125.08785,124.05013,124.70867,124.07941,124.60461,122.72543,123.64394,119.43329,121.61586,122.53032,123.94450,122.51434,120.99439,122.01268,122.51952,124.91350,124.60634,122.20410,123.57467,123.60111,122.15644,123.10881,122.10137,121.05904,121.44456,122.60908,123.81693,122.51947,122.93163,123.60723,122.75920,122.05866,123.10466,121.70365,123.59744,123.56129,122.86403,123.11344,125.53037,120.31722,123.02362,122.00092,123.68454,122.58822,123.52142,122.58348,123.04955,122.90602,125.54585,123.00739,128.12703,124.22655,121.44492,122.48613,123.15062,122.14255,122.46523,122.42583,123.10358,121.11577,123.67062,123.24315,122.64848,123.88181,124.48262,122.27096,121.71994,123.87053
2025-04-13,123.73817,127.19802,123.82176,124.15002,126.01595,126.51132,126.04657,122.73926,121.17435,127.30901,124.70404,124.13053,125.22902,122.04785,123.70112,127.23391,128.73343,122.69899,125.04880,126.40702,125.26058,126.16028,125.10184,123.91492,125.64022,125.37177,124.43216,125.00351,124.33196,124.91593,123.02650,123.96979,119.72283,121.93340,122.91661,124.27219,122.87792,121.30385,122.34989,122.87286,125.32819,124.97063,122.54264,123.88196,123.92165,122.48087,123.46353,122.43014,121.41003,121.76820,122.98336,124.18029,122.86922,123.16169,123.96379,123.13322,122.43314,123.41846,122.02295,123.84203,123.71057,122.99003,123.25626,125.77353,120.39551,123.15743,122.13176,123.80694,122.69217,123.82911,122.71283,123.25025,123.04661,125.74559,123.23456,128.64721,124.52600,121.51169,122.62284,123.31733,122.30734,122.61299,122.56929,123.23495,121.28208,123.88994,123.44025,122.82008,123.96920,124.86401,122.35748,121.78014,123.93741
2025-04-14,123.46009,126.87387,123.55435,123.87249,125.69127,126.20896,125.77273,122.59439,121.01418,126.98560,124.43648,123.86043,124.93852,121.83537,123.49817,126.94265,128.48079,122.57953,124.74437,126.12985,124.92735,125.85686,124.83973,123.64672,125.35547,125.06838,124.24339,124.69210,123.99520,124.63692,122.82525,123.75358,119.53502,121.70805,122.76303,124.05461,122.68280,121.09984,122.13980,122.67434,125.21727,124.76629,122.37141,123.67167,123.75069,122.29451,123.23444,122.22014,121.23624,121.57614,122.84809,123.99433,122.66750,122.92761,123.77034,122.95497,122.25803,123.18660,121.84827,123.53710,123.30477,122.61613,122.87997,125.24435,120.08317,122.74779,121.71372,123.45253,122.30259,123.59246,122.27505,122.92126,122.65490,125.34819,122.95300,128.52908,124.27512,121.06465,122.22647,122.93013,121.97343,122.25281,122.20484,122.83297,120.96468,123.57355,123.05449,122.48146,123.59742,124.64743,121.93147,121.36267,123.49123
